,플레이스 이름
255,빵굽는푸른마을
256,ZOO COFFEE 농협하나로마트 광주점
257,엑스포카페 신창점
258,더원 스터디카페
259,카페어컵오브커피
260,위치커피 광주수완점
261,VAGDAD
262,까페 그곳
263,카페달링 수완하남직영점
264,끌림
265,세인트데이비드커피
266,청자다방 신가2호점
267,수완스터디카페
268,메가MGC커피 광주운남영천점
269,메가MGC커피 광주운남점
270,더벤티 광주운남영천점
271,컴포즈커피 광주보건대점
272,디저트올데이
273,카페블레스
274,민카페
275,수완뜨락
276,컵오티
277,요린
278,카페굴리엘모 센트럴병원점
279,멜로쿠키
280,엔제리너스 광주흑석점
281,오늘은카페 신가점
282,Sweet Moon
283,배스킨라빈스 신가점
284,더마마스케이크
285,벌크커피 신가점
286,아이스빈 농협광주점
287,텐퍼센트커피수완점
288,프루타
289,에스에이치푸드랩
290,숲 커피전문점 신가점
